time,RPM dup 1,InlineAcc,LateralAcc,VerticalAcc,RollRate,PitchRate,YawRate,Gear,RPM dup 2,TPS
0.670,0.000000,0.022710,0.142225,-0.984360,3.197309,2.729736,11.213186,0.000000,0.000000,0.000000
0.680,0.000000,0.026939,0.154224,-0.994579,3.543118,2.850100,11.225656,0.000000,0.000000,0.000000
0.690,0.000000,0.026438,0.157931,-1.001298,3.692948,2.728011,11.190030,0.000000,0.000000,0.000000
0.700,0.000000,0.025813,0.159933,-1.007271,3.792835,2.616405,11.151003,0.000000,0.000000,0.000000
0.710,0.000000,0.024061,0.146595,-1.006537,3.443231,2.599153,11.081370,0.000000,0.000000,0.000000
0.720,0.000000,0.023207,0.133252,-1.006657,3.112072,2.564384,11.027445,0.000000,0.000000,0.000000
0.730,0.000000,0.030437,0.119870,-1.014463,2.946926,2.371961,11.114891,0.000000,0.000000,0.000000
0.740,0.000000,0.036296,0.107923,-1.019781,2.794765,2.218287,11.193592,0.000000,0.000000,0.000000
0.750,0.000000,0.029817,0.108891,-1.002699,2.759471,2.413365,11.193592,0.000000,0.000000,0.000000
0.760,0.000000,0.023836,0.110382,-0.987007,2.704733,2.609902,11.204118,0.000000,0.000000,0.000000
0.770,0.000000,0.022334,0.116578,-0.983824,2.474993,2.819578,11.309377,0.000000,0.000000,0.000000
0.780,0.000000,0.021333,0.122705,-0.980473,2.275219,3.022219,11.412692,0.000000,0.000000,0.000000
0.790,0.000000,0.024837,0.128207,-0.975604,2.345140,3.161560,11.498518,0.000000,0.000000,0.000000
0.800,0.000000,0.027389,0.134051,-0.972615,2.488578,3.242909,11.588231,0.000000,0.000000,0.000000
0.810,0.000000,0.021383,0.142973,-0.986542,3.293667,2.802326,11.712922,0.000000,0.000000,0.000000
0.820,0.000000,0.016028,0.151271,-0.998170,3.993742,2.412834,11.812675,0.000000,0.000000,0.000000
0.830,0.000000,0.016528,0.153945,-0.989112,3.748685,2.483168,11.687984,0.000000,0.000000,0.000000
0.840,0.000000,0.017029,0.155166,-0.981572,3.484584,2.489007,11.563617,0.000000,0.000000,0.000000
0.850,0.000000,0.017529,0.143302,-0.987692,3.049077,1.914391,11.442164,0.000000,0.000000,0.000000
0.860,0.000000,0.018180,0.131524,-0.990709,2.669173,1.398829,11.338039,0.000000,0.000000,0.000000
0.870,0.000000,0.020182,0.120506,-0.965793,2.789704,1.414754,11.389859,0.000000,0.000000,0.000000
0.880,0.000000,0.022782,0.110706,-0.945909,2.935139,1.443020,11.447022,0.000000,0.000000,0.000000
0.890,0.000000,0.030762,0.111868,-0.971315,3.304721,1.582361,11.552281,0.000000,0.000000,0.000000
0.900,0.000000,0.037994,0.113265,-0.994716,3.610908,1.744793,11.647014,0.000000,0.000000,0.000000
0.910,0.000000,0.038495,0.116785,-1.000074,3.346540,2.115042,11.647014,0.000000,0.000000,0.000000
0.920,0.000000,0.039196,0.120027,-1.004848,3.068588,2.502278,11.640051,0.000000,0.000000,0.000000
0.930,0.000000,0.041698,0.120751,-1.004358,2.668374,3.042391,11.570417,0.000000,0.000000,0.000000
0.940,0.000000,0.043400,0.121614,-1.004015,2.332687,3.533933,11.509692,0.000000,0.000000,0.000000
0.950,0.000000,0.037894,0.123726,-1.004995,2.577743,3.588342,11.529124,0.000000,0.000000,0.000000
0.960,0.000000,0.030840,0.125744,-1.003727,2.857760,3.574275,11.546614,0.000000,0.000000,0.000000
0.970,0.000000,0.009846,0.126913,-0.982239,3.452420,2.943923,11.546614,0.000000,0.000000,0.000000
0.980,0.000000,-0.008497,0.127918,-0.962314,3.956184,2.352188,11.533982,0.000000,0.000000,0.000000
0.990,0.000000,-0.002992,0.127443,-0.956466,3.641873,2.108009,11.407672,0.000000,0.000000,0.000000
1.000,0.000000,0.003365,0.127288,-0.955742,3.372910,1.867281,11.299499,0.000000,0.000000,0.000000
1.010,0.000000,0.017379,0.130003,-1.001140,3.512086,1.657606,11.354557,0.000000,0.000000,0.000000
1.020,0.000000,0.030139,0.132644,-1.039656,3.617966,1.480841,11.393583,0.000000,0.000000,0.000000
1.030,0.000000,0.031613,0.134618,-1.016237,3.424186,1.600277,11.288324,0.000000,0.000000,0.000000
1.040,0.000000,0.032141,0.135852,-0.993157,3.230738,1.721835,11.198612,0.000000,0.000000,0.000000
1.050,0.000000,0.024161,0.130434,-0.973137,3.040287,1.862503,11.248813,0.000000,0.000000,0.000000
1.060,0.000000,0.018327,0.124911,-0.957462,2.884397,2.008480,11.299499,0.000000,0.000000,0.000000
1.070,0.000000,0.031813,0.118453,-0.980881,3.039554,2.202230,11.354557,0.000000,0.000000,0.000000
1.080,0.000000,0.043050,0.112787,-1.000422,3.174135,2.374748,11.411234,0.000000,0.000000,0.000000
1.090,0.000000,0.034040,0.114252,-0.985054,3.123526,2.356169,11.482487,0.000000,0.000000,0.000000
1.100,0.000000,0.025815,0.116104,-0.971141,3.056069,2.325248,11.540461,0.000000,0.000000,0.000000
1.110,0.000000,0.024648,0.121440,-0.970325,2.836983,2.183253,11.478924,0.000000,0.000000,0.000000
1.120,0.000000,0.023847,0.126343,-0.970110,2.650128,2.050547,11.416417,0.000000,0.000000,0.000000
1.130,0.000000,0.026349,0.127350,-0.975305,2.753345,2.001446,11.345164,0.000000,0.000000,0.000000
1.140,0.000000,0.028026,0.128111,-0.981586,2.871811,1.969862,11.266463,0.000000,0.000000,0.000000
1.150,0.000000,0.022270,0.126654,-0.997634,3.127521,2.095933,11.120721,0.000000,0.000000,0.000000
1.160,0.000000,0.017424,0.125545,-1.011955,3.346607,2.217757,10.986152,0.000000,0.000000,0.000000
1.170,0.000000,0.020760,0.127557,-1.010731,3.236065,2.301361,10.952146,0.000000,0.000000,0.000000
1.180,0.000000,0.024025,0.129680,-1.009823,3.141439,2.364264,10.925588,0.000000,0.000000,0.000000
1.190,0.000000,0.026638,0.132805,-1.011754,3.190051,2.240847,10.966072,0.000000,0.000000,0.000000
1.200,0.000000,0.028902,0.135268,-1.013767,3.234534,2.134948,11.008175,0.000000,0.000000,0.000000
1.210,0.000000,0.028012,0.131779,-1.016514,3.241859,2.186703,11.064853,0.000000,0.000000,0.000000
1.220,0.000000,0.026944,0.127661,-1.017493,3.252180,2.226382,11.125417,0.000000,0.000000,0.000000
1.230,0.000000,0.024275,0.117877,-1.002560,3.289472,2.157376,11.220960,0.000000,0.000000,0.000000
1.240,0.000000,0.021923,0.108541,-0.988264,3.300792,2.084785,11.299336,0.000000,0.000000,0.000000
1.250,0.000000,0.022423,0.103246,-0.979695,3.078377,1.979948,11.223227,0.000000,0.000000,0.000000
1.260,0.000000,0.023135,0.098959,-0.971527,2.871811,1.879224,11.150031,0.000000,0.000000,0.000000
1.270,0.000000,0.025749,0.103745,-0.966957,2.807883,1.815525,11.103069,0.000000,0.000000,0.000000
1.280,0.000000,0.027395,0.108808,-0.963054,2.747684,1.774387,11.057890,0.000000,0.000000,0.000000
1.290,0.000000,0.020332,0.116361,-0.965148,2.721048,1.936288,11.028741,0.000000,0.000000,0.000000
1.300,0.000000,0.012774,0.123550,-0.968475,2.713390,2.095800,11.001535,0.000000,0.000000,0.000000
1.310,0.000000,0.000762,0.127463,-0.982891,2.876539,2.233814,10.991819,0.000000,0.000000,0.000000
1.320,0.000000,-0.010271,0.131180,-0.996709,3.032163,2.353515,10.983075,0.000000,0.000000,0.000000
1.330,0.000000,-0.012496,0.133138,-1.005141,3.120063,2.308395,10.983075,0.000000,0.000000,0.000000
1.340,0.000000,-0.013850,0.134893,-1.013049,3.208896,2.266062,10.972549,0.000000,0.000000,0.000000
1.350,0.000000,-0.007371,0.134837,-1.016231,3.306119,2.248810,10.867290,0.000000,0.000000,0.000000
1.360,0.000000,-0.002041,0.134246,-1.018826,3.404874,2.233283,10.763651,0.000000,0.000000,0.000000
1.370,0.000000,-0.007046,0.128839,-1.016133,3.517414,2.233283,10.674586,0.000000,0.000000,0.000000
1.380,0.000000,-0.012298,0.123197,-1.013122,3.616901,2.243767,10.590055,0.000000,0.000000,0.000000
1.390,0.000000,-0.019778,0.115439,-1.007247,3.598922,2.348605,10.546332,0.000000,0.000000,0.000000
1.400,0.000000,-0.027060,0.108199,-1.001766,3.578545,2.441233,10.503419,0.000000,0.000000,0.000000
1.410,0.000000,-0.032566,0.105617,-0.999835,3.536592,2.423981,10.467793,0.000000,0.000000,0.000000
1.420,0.000000,-0.037946,0.103637,-0.997204,3.511087,2.397971,10.439293,0.000000,0.000000,0.000000
1.430,0.000000,-0.042201,0.107084,-0.988283,3.633615,2.293133,10.474918,0.000000,0.000000,0.000000
1.440,0.000000,-0.046180,0.110522,-0.980302,3.744623,2.190950,10.507792,0.000000,0.000000,0.000000
1.450,0.000000,-0.047681,0.113885,-0.980792,3.751948,2.112654,10.515888,0.000000,0.000000,0.000000
1.460,0.000000,-0.049430,0.116709,-0.982415,3.749018,2.009939,10.516050,0.000000,0.000000,0.000000
1.470,0.000000,-0.053407,0.114689,-0.994248,3.653793,1.687464,10.444798,0.000000,0.000000,0.000000
1.480,0.000000,-0.057836,0.112106,-1.004848,3.520610,1.405730,10.365450,0.000000,0.000000,0.000000
1.490,0.000000,-0.066345,0.104464,-1.004358,3.045814,1.490662,10.213229,0.000000,0.000000,0.000000
1.500,0.000000,-0.074003,0.097061,-1.003382,2.602982,1.581167,10.069267,0.000000,0.000000,0.000000
1.510,0.000000,-0.074003,0.091804,-0.998023,2.447824,1.721835,9.999636,0.000000,0.000000,0.000000
1.520,0.000000,-0.075004,0.087635,-0.994275,2.339679,1.867812,9.927897,0.000000,0.000000,0.000000
1.530,0.000000,-0.085014,0.093249,-1.005019,2.654656,2.061562,9.837214,0.000000,0.000000,0.000000
1.540,0.000000,-0.094073,0.099051,-1.014836,2.924085,2.253587,9.748634,0.000000,0.000000,0.000000
