"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°C","V","g","g","g","deg/s","deg/s","deg/s","%","%","%","%","%","#","#","#","#","#","gear","#","#","#","#","%","%","%","%","#","#","#","#","bar","km/h","km/h","#","#","deg","bar","km/h","km/h","#","#","rpm","%","°C","bar","ms","bar","°C","bar","bar","°C","deg","ms","lambda","%","°C","V","#","%","%","km/h","g","°C","°C","g","°C","°C","g","°C","°C","g","°C","°C","km/h","#","g","g","deg","deg","deg/s","m","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87",

"106.000","0.876","32.719925","14.357212","0.197473","-0.727097","-0.946614","-5.497520","-8.958701","22.461033","83.131844","48.465782","51.906845","50.250000","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.000000","0.000000","24.000000","24.999084","18.079037","18.958961","50.000000","50.000000","100.000000","50.000000","2.065068","114.611977","0.011375","352.199890","355.999908","34.038925","0.399609","577.037781","616.259399","356.999786","352.599884","5299.675293","17.208666","25.000000","0.607030","3.617096","0.098000","102.000000","2.271229","0.002887","82.000000","36.497032","1.982289","1.991104","100.000000","29.999985","14.038716","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.299000","13.000000","0.836818","-0.108141","0.734336","-129.890366","30.536493","686.173706","0.750000","0.140000","47.221561120557","14.763215205700","687.82"
"106.100","0.878","32.727985","14.359978","0.106442","-0.896133","-1.021196","-4.695641","4.644009","26.205481","96.714790","47.478218","50.720989","50.277252","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.000000","0.000000","8.040000","9.039437","13.958550","12.959694","50.000000","50.000000","100.000000","50.000000","0.535806","158.634476","0.007250","352.091827","355.999908","44.118561","0.089912","550.846436","403.432770","356.999786","352.599884","5360.645508","14.908278","25.000000","0.668484","3.286877","0.098000","102.000000","2.518699","0.002863","82.000000","33.497894","1.917226","1.992188","100.000000","29.999985","13.977010","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.288998","13.000000","0.831069","0.059526","0.760349","-126.461571","30.041229","686.194275","0.750000","0.140000","47.221552937650","14.763199065334","687.84"
"106.200","0.879","32.736046","14.362743","0.215332","-0.950704","-0.931892","-7.954669","3.337169","32.428623","86.557098","47.029831","57.781948","50.253914","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.000000","0.000000","8.959222","9.959258","5.118828","4.499771","50.000000","50.000000","100.000000","50.000000","3.149947","117.934418","0.012250","352.083191","355.999908","45.230728","0.227868","524.655090","381.715759","356.999786","352.599884","5296.986328","6.930404","25.000000","0.641924","2.376579","0.098000","102.000000","2.442262","0.002960","82.000000","30.071512","1.942232","1.281411","100.000000","29.999985","14.214721","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.923000","13.000000","0.909912","0.081724","0.695948","-123.076073","32.530155","686.211548","0.750000","0.122200","47.221545290626","14.763182162681","687.85"
"106.300","0.881","32.744106","14.365509","0.306182","-0.990035","-0.962607","-7.535159","-0.278670","30.747751","83.024635","47.342640","51.725567","50.250614","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.000000","0.000000","8.999222","9.999313","4.918874","5.539597","50.000000","50.000000","100.000000","50.000000","2.460464","86.371117","0.012000","352.029510","356.085083","37.499352","0.563771","498.463745","560.881042","356.999786","352.599884","5288.642578","5.999847","25.000000","0.593638","2.245168","0.098000","102.000000","2.388798","0.003001","82.000000","30.311047","1.949601","0.911626","100.000000","29.999985","14.184556","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","56.089001","13.000000","1.022890","0.013581","0.560272","-119.736427","36.514278","686.221863","0.750000","0.120000","47.221538334272","14.763164585695","687.86"
"106.400","0.882","32.752171","14.368275","0.262936","-0.891943","-0.949455","-7.313890","-1.149068","27.081972","87.932182","47.342640","52.531471","50.277866","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.000000","0.000000","8.999222","9.999313","4.458979","5.459327","50.000000","50.000000","100.000000","50.000000","2.006766","89.693565","0.014500","351.999847","356.099915","36.555630","0.297699","472.272400","580.426331","356.999786","352.599884","5294.603027","5.999847","25.000000","0.576887","2.241865","0.098000","102.000000","2.423233","0.003016","82.000000","30.487257","1.949988","1.185867","100.000000","29.999985","14.055281","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.922001","13.000000","1.060040","-0.016456","0.401735","-116.452797","37.926731","686.225769","0.750000","0.111100","47.221532200603","14.763146421962","687.87"
"106.500","0.884","32.760231","14.371039","0.249569","-0.835034","-0.956948","-7.302121","-0.831538","25.423119","86.312309","47.342640","53.442589","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.000000","0.000000","8.999222","9.999313","5.578723","5.958732","50.000000","50.000000","100.000000","50.000000","1.971551","106.305832","0.014000","351.999847","356.120972","35.899223","0.335853","446.081024","471.841309","356.999786","352.599884","5281.562500","5.999847","25.000000","0.584440","2.241865","0.098000","102.000000","2.372386","0.002942","82.000000","30.073015","1.907305","1.167102","100.000000","29.999985","14.070006","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.811001","13.000000","0.988182","-0.000401","0.277002","-113.216270","35.230392","686.228271","0.750000","0.110000","47.221526873769","14.763127708665","687.87"
"106.600","0.885","32.768291","14.373805","0.252867","-0.809673","-0.956108","-6.989344","-0.824880","25.462082","90.104538","48.664227","42.399559","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.000000","0.000000","8.459922","8.999542","5.498741","5.038910","50.000000","50.000000","100.000000","50.000000","1.821548","136.207916","0.009500","351.999847","356.139679","35.899223","0.129873","419.889679","626.032043","356.999786","352.599884","5292.892578","5.999847","25.000000","0.589505","2.241865","0.098000","102.000000","2.327182","0.002914","82.000000","31.710930","1.942934","1.116614","100.000000","29.999985","14.055316","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.978001","13.000000","0.890442","0.001912","0.197475","-110.015396","31.516941","686.233887","0.750000","0.110000","47.221522254751","14.763108528667","687.88"
"106.700","0.887","32.776352","14.376571","0.277337","-0.806343","-0.971547","-6.416536","-1.001502","25.395164","88.984497","47.029831","54.202335","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.000000","0.000000","8.539300","9.959258","5.418759","5.499702","50.000000","50.000000","100.000000","50.000000","1.799634","120.426262","0.010500","351.999847","356.099915","35.882530","0.188409","393.698334","300.277008","356.999786","352.518951","5333.748535","5.999847","25.000000","0.594982","2.241865","0.098000","102.000000","2.378092","0.002930","82.000000","30.282324","1.949769","1.136273","100.000000","29.999985","14.059691","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.821999","13.000000","0.850010","-0.007163","0.122991","-106.818291","30.142300","686.239746","0.750000","0.110000","47.221518313097","14.763088997084","687.88"
"106.800","0.888","32.784412","14.379336","0.254775","-0.787210","-0.935997","-6.373383","0.058297","24.925501","90.229309","46.408104","55.290913","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.000000","0.000000","8.000000","9.538842","4.998856","6.339254","50.000000","50.000000","100.000000","50.000000","0.891710","121.256882","0.014000","351.999847","356.240906","35.776302","0.099902","367.506958","616.259338","356.999786","352.508087","5339.043457","6.754925","25.000000","0.604545","2.241865","0.098000","102.000000","2.413503","0.002918","82.000000","30.008669","1.993147","1.133742","100.000000","29.999985","13.992482","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.844498","13.000000","0.850335","0.001925","0.053605","-103.600784","30.350166","686.240906","0.750000","0.110000","47.221515063987","14.763069158504","687.88"
"106.900","0.890","32.792477","14.382102","0.232635","-0.804484","-0.981840","-4.939594","-2.116587","25.156189","98.904480","49.642937","50.662624","50.281235","50.281223","0.000000","3.000000","0.972726","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.000000","0.000000","5.539300","6.499153","5.458750","6.419204","50.000000","50.000000","100.000000","50.000000","0.499419","104.644608","0.014500","351.999847","356.299988","35.398445","0.000000","341.315613","181.919388","357.058136","352.399841","5341.023926","3.584848","25.000000","0.594142","1.572379","0.098000","102.000000","2.313878","0.002943","82.000000","29.999863","1.956667","1.126091","100.000000","29.999985","13.830894","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.894501","13.000000","0.836078","-0.013263","0.015446","-100.390961","29.819380","686.237549","0.750000","0.110000","47.221512517834","14.763049020629","687.88"
"107.000","0.892","32.797668","14.381475","0.346551","-0.735438","-0.970584","-5.788550","1.831040","24.945292","100.000000","29.079500","29.079500","50.281235","50.309055","0.000000","3.000000","1.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.444993","0.000000","0.000000","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.499419","117.934418","0.012250","351.999847","356.299988","35.129845","0.000000","315.124268","640.691040","357.022430","352.399841","5014.118652","0.349966","25.000000","0.550107","0.996433","0.098000","102.000000","2.255567","0.002886","82.000000","12.559366","1.950155","1.125018","100.000000","29.999985","14.130735","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.677502","13.000000","0.814403","-0.082227","0.001466","-97.233398","29.014488","686.236938","0.750000","0.110000","47.221510669106","14.763028747118","687.88"
"107.100","0.893","32.802509","14.380429","0.442633","-0.717862","-0.871291","-5.720153","-1.718616","26.691471","100.000000","35.999313","0.000000","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.999924","4095.000000","2352.989502","0.944999","0.000000","100.000000","99.999542","76.579453","82.209068","50.000000","50.000000","97.443268","50.000000","3.039614","131.224243","0.010167","351.958740","356.299988","35.398445","0.076709","288.932892","608.441284","357.031830","352.399841","5518.528809","52.509117","25.000000","0.738014","4.179224","0.098000","102.000000","2.311258","0.003060","82.000000","33.831230","1.994044","1.145646","100.000000","29.999985","14.005481","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.427502","13.000000","0.832936","-0.095605","-0.020192","-94.102524","29.923201","686.239685","0.750000","0.118900","47.221509540157","14.763008529832","687.88"
"107.200","0.895","32.807400","14.379374","-0.238858","-0.944784","-1.126351","-2.285312","-28.502190","27.491398","93.823067","35.294117","50.038147","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.100000","0.000000","0.000000","0.000000","80.181641","80.635384","50.000000","50.000000","96.363609","50.000000","1.299822","83.048660","0.015000","351.907135","356.299988","35.398445","0.019579","262.479645","525.047974","357.027130","352.399841","6500.301758","46.821850","25.000000","0.838095","4.108523","0.098000","102.000000","2.684337","0.003183","82.000000","40.091034","1.999942","1.440770","100.000000","29.999985","14.181752","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","54.770000","13.000000","0.888874","0.043720","-0.074279","-90.942886","31.964991","686.238464","0.750000","0.120000","47.221509165906","14.762988113229","687.88"
"107.300","0.896","32.812237","14.378327","0.213239","-1.046185","-0.996833","-8.607388","21.683044","27.512424","95.390869","0.000000","0.884260","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","1.819556","83.048660","0.013334","351.899811","356.299988","48.558624","0.119983","236.288284","655.349976","357.099976","352.399841","6191.264648","7.606623","25.000000","0.676848","1.607521","0.098000","102.000000","3.016805","0.002800","82.000000","13.046217","1.954989","1.300443","100.000000","29.999985","14.100501","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.510002","13.000000","0.936673","0.139574","-0.136731","-87.855789","32.817551","686.231934","0.750000","0.111000","47.221509592627","14.762967666245","687.87"
"107.400","0.898","32.817078","14.377282","0.653320","-0.822846","-0.819109","-11.368444","5.548305","36.357742","65.124664","0.000000","0.000000","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","8.259694","149.497726","0.010000","351.899811","356.299988","37.998444","4.499622","210.096924","3.840000","357.099976","352.399841","5770.789063","0.339971","25.000000","0.535154","0.963955","0.098000","102.000000","2.779886","0.002885","82.000000","10.449723","1.950442","0.881238","100.000000","29.999985","14.025260","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","56.230000","13.000000","0.984919","-0.029890","-0.168817","-84.824844","33.631157","686.227600","0.750000","0.110000","47.221510847730","14.762947164834","687.87"
"107.500","0.899","32.821918","14.376236","0.755126","-0.914961","-0.872085","-6.246310","-1.731799","28.733280","62.343273","0.000000","0.000000","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","0.635019","1.363470","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","6.483104","139.530365","0.009000","351.899811","356.329193","34.278858","3.999608","183.905579","474.383270","357.099976","352.399841","5857.333496","0.000000","25.000000","0.470968","0.934196","0.098000","102.000000","2.809628","0.002877","82.000000","10.494967","1.995042","0.922072","100.000000","29.999985","14.111886","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.580002","13.000000","1.043106","-0.346831","-0.145899","-81.830566","36.106331","686.228516","0.750000","0.119000","47.221512965139","14.762927187412","687.87"
"107.600","0.901","32.826759","14.375190","0.695782","-0.656783","-0.818365","-7.153301","-1.702877","21.849739","62.743332","0.000000","0.000000","50.309368","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","0.000000","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","6.599708","124.579330","0.010000","351.899811","356.399780","29.999481","3.999608","157.714218","273.309143","357.099976","352.399841","5854.504883","0.000000","25.000000","0.445953","0.935476","0.098000","102.000000","3.050182","0.002863","82.000000","10.049176","1.999539","1.795640","100.000000","29.999985","14.046021","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","53.250000","13.000000","1.019780","-0.510623","-0.081154","-78.829414","36.846592","686.226807","0.750000","0.138000","47.221515905072","14.762908165261","687.87"
"107.700","0.902","32.831600","14.374145","0.654526","-0.519573","-0.869636","-5.948244","-0.451862","20.901011","61.043182","31.999695","0.000000","50.312492","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","3.699611","4.699244","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","6.899712","96.893066","0.010000","351.761444","356.315063","31.098833","4.439881","525.047974","655.349976","357.099976","352.399841","5702.249023","0.000000","25.000000","0.446013","0.917283","0.098000","102.000000","3.095056","0.002811","82.000000","9.999702","1.954939","1.982134","100.000000","29.999985","14.035581","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","51.830002","13.000000","0.854777","-0.480987","0.039167","-75.806488","31.866440","686.217468","0.750000","0.140000","47.221519500192","14.762890054422","687.86"
"107.800","0.904","32.836437","14.373098","0.623993","-0.502886","-0.840100","-5.570437","-0.545352","21.551638","60.962307","45.436790","0.000000","50.284359","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","4.000000","4.998856","0.000000","1.398718","50.000000","50.000000","100.000000","50.000000","8.059886","149.497726","0.010000","351.899811","356.310791","34.199612","5.159781","468.080139","519.618713","357.099976","352.399841","5486.811035","0.000000","25.000000","0.461071","0.922797","0.098000","102.000000","2.774481","0.002803","82.000000","9.999702","1.949988","1.992188","100.000000","29.999985","14.019320","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","50.260002","13.000000","0.682509","-0.465755","0.216784","-72.781273","26.026855","686.202881","0.750000","0.122000","47.221523524018","14.762872762302","687.85"
"107.900","0.905","32.841278","14.372053","0.689194","-0.569853","-0.831555","-5.767869","-0.242687","26.380630","59.874573","46.662086","20.000000","50.309368","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","0.999222","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","8.679817","95.827332","0.013462","351.745361","356.399780","41.798962","6.299872","260.002563","112.424995","357.099976","352.399841","5268.844727","0.000000","25.000000","0.469262","0.915669","0.098000","102.000000","1.988292","0.002868","82.000000","9.999702","1.949988","1.992188","100.000000","29.999985","14.013416","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","48.480000","13.000000","0.633817","-0.520820","0.389817","-69.879814","25.213257","686.193237","0.750000","0.120000","47.221527849755","14.762856353613","687.83"
"108.000","0.906","32.836407","14.360975","0.739537","-0.613197","-0.821976","-7.703807","-0.716862","28.876762","57.068527","46.662086","0.000000","50.312492","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","0.999222","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","9.599753","159.720673","0.005769","351.742279","356.399780","41.798962","7.179917","635.303528","459.896973","357.099976","352.399841","5068.565918","0.000000","25.000000","0.469989","0.904341","0.098000","102.000000","2.057949","0.002875","82.000000","9.999702","1.948176","1.992188","100.000000","29.999985","14.237478","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","46.590000","13.000000","0.692260","-0.575821","0.510138","-67.322128","29.230839","686.197388","0.750000","0.138000","47.221532477555","14.762840971844","687.84"
"108.100","0.907","32.830456","14.348783","0.736996","-0.519336","-0.825006","-7.506375","-0.934108","27.445631","55.169430","49.999237","0.000000","50.312492","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","0.999222","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","10.419493","78.435547","0.017667","351.844543","356.399780","41.798962","7.899816","535.071228","655.349976","357.099976","352.399841","4868.420410","0.000000","25.000000","0.481627","0.921912","0.098000","102.000000","2.315975","0.002861","82.000000","9.999702","1.907063","1.992188","100.000000","29.999985","14.078422","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","44.509998","13.000000","0.760517","-0.581812","0.598947","-65.388962","34.320992","686.217773","0.750000","0.140000","47.221537464458","14.762826702445","687.86"
"108.200","0.909","32.824505","14.336592","0.690227","-0.181370","-0.835075","-6.345239","-1.484959","15.911217","58.612114","49.999237","0.000000","50.312492","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","0.999222","1.999542","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","10.659731","143.962006","0.010000","351.899811","356.399780","23.533203","6.983124","446.866791","546.760010","357.099976","352.399841","4679.457031","0.000000","25.000000","0.501104","0.915166","0.098000","102.000000","2.413756","0.002796","82.000000","9.999702","1.942550","1.992188","100.000000","29.999985","14.205268","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","42.500000","13.900000","0.709404","-0.523943","0.710673","-64.263680","34.094101","686.250000","0.750000","0.122000","47.221542824429","14.762813544385","687.89"
"108.300","0.910","32.818554","14.324399","0.432957","0.382475","-0.824715","-4.674106","-3.395112","-6.492139","62.523624","36.983292","0.000000","50.312492","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","0.999222","2.999313","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","6.679982","65.826385","0.022778","351.899811","356.339874","10.049287","3.799803","595.024414","3.840000","357.099976","352.399841","4505.086914","0.000000","25.000000","0.527132","0.885120","0.098000","102.000000","2.364845","0.002563","82.000000","9.999702","1.907419","1.992188","100.000000","29.999985","14.212757","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","40.680000","14.000000","0.435100","-0.434335","0.830422","-63.984081","21.965733","686.290222","0.750000","0.120000","47.221548428089","14.762801281856","687.93"
"108.400","0.911","32.812542","14.312085","0.259555","0.918996","-0.910567","1.939085","-0.525107","-26.060566","67.956146","36.999466","0.000000","50.311913","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","1.339611","3.069329","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.807497","100.491547","0.018500","351.899811","356.394592","20.923761","1.574742","290.380402","633.632996","357.099976","352.399841","4321.686523","0.000000","25.000000","0.545146","0.891469","0.098000","102.000000","2.285599","0.001929","82.000000","10.803893","1.942554","1.992188","100.000000","29.999985","14.372239","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","39.317001","14.000000","-0.041815","-0.387396","0.868523","-64.538124","-2.376494","686.325500","0.750000","0.120000","47.221553978430","14.762789386286","687.97"
"108.500","0.912","32.806591","14.299893","0.148504","1.101845","-0.892111","8.509848","0.246151","-46.068474","70.624397","45.124664","0.000000","50.284569","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","7.729650","9.069558","2.459437","2.199176","50.000000","50.000000","100.000000","50.000000","4.289848","120.426262","0.010500","351.899811","356.306732","43.899872","1.717919","649.920654","412.988251","357.247925","352.421967","4147.322754","3.657496","25.000000","0.598472","1.954425","0.098000","102.000000","2.147867","0.001859","82.000000","21.709074","1.907820","1.992188","100.000000","29.999985","14.048197","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","38.108002","14.000000","-0.551169","-0.390628","0.798107","-65.971321","-30.408337","686.347656","0.750000","0.120000","47.221558926887","14.762777692464","687.99"
